Pigment,Count_Total(p1+p2)
01_Ultramarin_GA_45010.h5,600
02_Ultramarin_GA_45080.h5,600
03_Terre_ombre_GA_T07000250A.h5,600
04_Red_oxide_GA_48600.h5,600
05_Pure_rouge_GA_T3800250A.h5,600
06_Ploss_blau_GA_10170.h5,600
07_Peach_black_GA_12010.h5,600
08_Ocre_havane_GA_T2800200A.h5,600
09_Ocre_citron_GA_T2600200A.h5,600
10_Malachite_GA_1674110.h5,600
11_Malachite_GA_1671144.h5,600
12_Malachite_GA_10300.h5,600
13_Magnesite_GA_11900.h5,600
14_Iron_red_GA_48600.h5,600
15_Iron_oxide_GA_1675410.h5,600
16_Indigo_GA_36009.h5,600
17_Green_earth_GA_17400.h5,600
18_Egyptian_blue_GA_10060.h5,600
19_Carmin_naccarat_GA_42100.h5,600
20_Azurite_GA_10210.h5,600
21_Titanium_white_GA_46200.h5,600
