number,value,state,params_batch_size,params_dense_units,params_dropout_1,params_dropout_2,params_dropout_3,params_filters_1,params_filters_2,params_kernel_1,params_kernel_2,params_lr,datetime_start,datetime_complete
0,0.7582857012748718,COMPLETE,64,2048,0.42277974599155277,0.4078153487066156,0.5340444851698023,128,1024,6,4,0.0002238849442844135,2025-10-15 11:33:38.903788,2025-10-15 11:35:10.197427
1,0.7502856254577637,COMPLETE,32,512,0.5343613769855641,0.302166937156397,0.49277943570188154,256,1024,4,7,0.0019077948272883552,2025-10-15 11:33:38.933460,2025-10-15 11:35:28.148027
2,0.6034285426139832,COMPLETE,32,512,0.5156683738695991,0.3929046147952661,0.5116064406059014,512,512,5,6,1.9047757998847553e-05,2025-10-15 11:33:38.982985,2025-10-15 11:35:16.189260
3,0.7582857012748718,COMPLETE,64,2048,0.5801761193372417,0.5596236817409337,0.5683293778337702,128,512,3,4,0.00039977482606037146,2025-10-15 11:33:38.908145,2025-10-15 11:34:39.034817
4,0.7497142553329468,COMPLETE,32,512,0.3916898412576571,0.5708186121165315,0.4589293223782178,128,1024,7,3,7.356120893113586e-05,2025-10-15 11:34:39.107695,2025-10-15 11:35:58.152705
5,0.7582857012748718,COMPLETE,32,2048,0.41290707022796774,0.5606627903532695,0.4406859915609852,512,256,5,5,0.008110696670956917,2025-10-15 11:35:10.261146,2025-10-15 11:35:59.386979
6,0.7497142553329468,COMPLETE,64,2048,0.4141640426946123,0.35969811895606685,0.3407525319607858,256,256,6,5,5.6477808689455395e-05,2025-10-15 11:35:16.320226,2025-10-15 11:36:39.988954
7,0.7851428389549255,COMPLETE,32,512,0.31134957039990013,0.43186566724937336,0.34496692938909207,512,512,5,4,0.0009871702361375534,2025-10-15 11:35:28.205478,2025-10-15 11:36:34.492591
8,0.7582857012748718,COMPLETE,32,512,0.3201255705221832,0.3902420542860543,0.4754351315618587,128,512,5,3,0.0010016100096311375,2025-10-15 11:35:58.214862,2025-10-15 11:36:44.162762
9,0.7582857012748718,COMPLETE,128,1024,0.37157001427433106,0.5410165242979863,0.507406720430848,128,512,3,7,0.00013339191167657867,2025-10-15 11:35:59.571063,2025-10-15 11:37:51.334221
10,0.7697141766548157,COMPLETE,128,1024,0.3480744937835883,0.3377593829003881,0.5778739446221782,512,512,7,7,0.00042573305303335014,2025-10-15 11:36:34.571911,2025-10-15 11:39:08.167336
11,0.8131428956985474,COMPLETE,128,1024,0.3149388206902477,0.5419165413114366,0.44231202186221585,256,512,3,4,1.6152155101260608e-05,2025-10-15 11:36:40.236634,2025-10-15 11:40:28.573411
12,0.7674285769462585,COMPLETE,64,512,0.4074372409404591,0.5421805163429065,0.3078892131638228,512,512,7,4,0.0038732902936677344,2025-10-15 11:36:44.414005,2025-10-15 11:37:58.406013
13,0.7491428256034851,COMPLETE,128,1024,0.30374336883308,0.47572582156179727,0.31302207214551303,512,512,7,4,0.007253993630643811,2025-10-15 11:37:51.407817,2025-10-15 11:39:01.199818
